이름,영문 이름,defName,출처 모드,packageId,건축 탭,크기,칸 수,통행,전력,중력선,특징,연구,건설 비용,체력,작업량,아름다움,지형 조건,포장 가능,설명,제작 레시피 수,대표 제작품,실제 적용값(모드 설정)
고급 침대,royal bed,RoyalBed,코어,ludeon.rimworld,가구,2x2,4,통과만,,,연결 가능 설비 3종 / 침대,complex furniture,"재질(Metallic/Woody/Stony) 100, Gold 50",200,50000,75,Light,예,"금으로 장식까지 한, 높으신 분들을 위한 호화로운 침대입니다. 매우 편하고 두 명까지 누울 수 있습니다.",,,
동물 상자,animal sleeping box,AnimalSleepingBox,코어,ludeon.rimworld,가구,1x1,1,통과만,,,침대,,재질(Metallic/Woody/Stony) 25,75,180,,Light,예,"작은 동물이 잘 수 있는 상자입니다. 닭, 고양이, 작은 개까지 들어갈 수 있습니다.",,,
동물 잠자리,animal sleeping spot,AnimalSleepingSpot,코어,ludeon.rimworld,가구,1x1,1,가능,,,침대,,,,0,,Light,,동물이 잠을 청할 위치를 지정합니다.,,,
동물 침대,animal bed,AnimalBed,코어,ludeon.rimworld,가구,1x1,1,통과만,,,침대,,재질(Fabric/Leathery) 40,140,400,,Light,예,동물이 잘 수 있는 부드러운 침대입니다. 모든 크기의 동물에게 적합합니다.,,,
벽걸이 횃불,wall torch lamp,TorchWallLamp,코어,ludeon.rimworld,가구,1x1,1,가능,,,조명 반경 9 / 연료 WoodLog 15.0 / 열 3.5/초 / 설치조건: Heater,,WoodLog 15,50,100,,,,주변을 밝게 비추는 벽걸이형 나무 횃불입니다. 일반 횃불만큼 밝지는 않지만 벽에 설치할 수 있습니다. 약한 열을 발산합니다.,,,
벽등,wall lamp,WallLamp,코어,ludeon.rimworld,가구,1x1,1,가능,-30 W,,조명 반경 11,electricity,Steel 15,35,330,,,예,"전기를 사용해 주변을 밝게 비추는 벽걸이형 전등입니다. 스탠드 전등보다 밝지 않지만, 벽에 설치할 수 있습니다.",,,
선반,shelf,Shelf,코어,ludeon.rimworld,가구,2x1,2,통과만,,,저장 칸당 3묶음,complex furniture,재질(Metallic/Woody/Stony) 20,100,500,0.5,Light,예,"맨땅에 비해 세 배의 물건을 적재할 수 있는 삼중 선반입니다. 선반에 보관한 물건은 절대 손상되지 않고 주변 미관에도 영향을 주지 않습니다.\n\n선반의 수납공간은 제한돼있으므로 바위 덩어리나 건물, 식물, 대형 시체 등은 보관할 수 없습니다.",,,
소형 선반,small shelf,ShelfSmall,코어,ludeon.rimworld,가구,1x1,1,통과만,,,저장 칸당 3묶음,complex furniture,재질(Metallic/Woody/Stony) 10,50,250,0.5,Light,예,"맨땅에 비해 세 배의 물건을 적재할 수 있는 삼중 소형 선반입니다. 선반에 보관한 물건은 절대 손상되지 않고 주변 미관에도 영향을 주지 않습니다.\n\n선반의 수납공간은 제한돼있으므로 바위 덩어리나 건물, 식물, 대형 시체 등은 보관할 수 없습니다.",,,
스탠드 전등,standing lamp,StandingLamp,코어,ludeon.rimworld,가구,1x1,1,통과만,-30 W,,조명 반경 12,electricity,Steel 20,50,300,,Light,예,주변을 밝게 비추는 일반적인 전등입니다. 최대 속도로 이동하고 작업하려면 불빛이 필요합니다.,,,
식탁 (1x2),table (1x2),Table1x2c,코어,ludeon.rimworld,가구,1x2,2,통과만,,,,,재질(Metallic/Woody/Stony) 28,75,750,0.5,Light,예,의자가 있으면 여기서 밥을 먹습니다.,,,
식탁 (2x2),table (2x2),Table2x2c,코어,ludeon.rimworld,가구,2x2,4,통과만,,,,,재질(Metallic/Woody/Stony) 50,100,1500,1,Light,예,의자가 있으면 여기서 밥을 먹습니다.,,,
