작업대,모드,크기,전력(W),기본 속도,연결 설비 포함 최대 속도,제작품 수,판정,유일 제작품,연구,설치 조건,defName
생체강 성형 작업대,Anomaly DLC,3x1,250,1,9.7,20,필수,"교란용 조명탄 배낭, 금속 혈액 심장, 망령 척추골, 모조생명 등짐, 모조생명 포탄, 부식성 심장, 부신의 심장, 생체변이 창, 생체변이 파동기, 소각기, 파편 동물 파동기, 파편 정신분열 창, 파편 정신충격 창, 헬캣 소총, 혈액 온열기",생체강 성형,,BioferriteShaper
혈청 연구대,Anomaly DLC,2x2,375,1,3.55,7,필수,"감정마비 혈청, 공허의 시야 혈청, 구울 부활 혈청, 구울 부활 혈청 (드라고니안 프리무스), 금속혈액 혈청, 비대한 힘 혈청, 진공보호 혈청",혈청 합성,,SerumCentrifuge
대형 메카노이드 배양기,Biotech DLC,4x3,500,1,1,61,필수,"Doxa-0, 대거 레이븐, 대형 메카노이드 소생, 디아볼루스, 라이오네타, 랜서, 리노아, 리저너리, 린린, 마젤란, 맨티스, 모바일 앤트, 미사일 센티피드, 미스티, 비르구스, 사이더, 사이클롭스, 서티폭스, 세이렌, 센추리온, 센티피드 거너, 센티피드 버너, 센티피드 블래스터, 셰퍼디, 솔티 버스터, 솔티라이언, 쉘 포트리스, 슈라이크, 스나이퍼 앤트, 스코처, 스큐티저, 스톰마리나, 스트릭스, 스틸비비안, 시스티, 신더 채리엇, 아르테미스, 아리사, 아우로라, 아주르트레일, 워 스콜피온, 워 퀸, 이스코르카, 중형 메카노이드 소생, 초대형 메카노이드 소생, 터널러, 테서론, 테슬라 센티피드, 테크레기나, 트라이세라, 특수 공수부대 사일런트 맨티스, 파르바티, 파이크맨, 팬텀세일, 페닉시아, 포터라인,",기본 기계공학,,LargeMechGestator
메카노이드 배양기,Biotech DLC,3x2,350,1,1,22,필수,"그레이스, 낫의 초능력자, 댄디라이언, 레이드레이븐, 리프터, 마유미, 밀리터, 바냐, 비비안스폰, 소형 메카노이드 소생, 스위피, 아그리핸드, 점프 구급대원, 점프 리프터, 컨스트럭토이드, 콘스티, 클린스위퍼, 티키, 파라메딕, 파브리코어, 해병 승무원, 허니윙",기초 기계공학,,MechGestator
서브코어 부호기,Biotech DLC,3x2,50,1,1,4,필수,"기본 서브코어, 스톰마린 서브코어, 신경망",기초 기계공학,,SubcoreEncoder
간이 도축 장소,코어,1x1,0,1,1.15,2,대체 가능 → 도축 작업대,,,,ButcherSpot
간이 제작 장소,코어,1x1,0,0.5,1.1,22,필수,메카노이드와 드론 분쇄,,,CraftingSpot
기계 작업대,코어,3x1,350,1,5.75,89,필수,"CLSMG, NCL5, 강화 방탄모, 강화 손톱, 경기관총, 고급 통제 서브링크, 고폭탄, 구원의 카트리지, 기계사령관 헬멧, 기관권총, 기관단총, 기본 통제 서브링크, 농업용 기계손, 대역폭 팩, 독니, 독소 등짐, 독소 수류탄, 독소탄, 독소폭탄 발사기, 돌격소총, 드라고니안 강선 부싯돌총, 드라고니안 리볼버, 드라고니안 프리무스 두꺼운 양말, 드라고니안 프리무스 일반 작업복, 드라고니안 프리무스 투사기, 드릴 팔, 리볼버, 맹독 손톱, 메카노이드 배양 연산기, 무릎 송곳, 무선통신 헤드셋, 미니건, 방독면, 방탄바지, 방탄재킷, 방탄조끼, 보호막 벨트, 볼트액션 소총, 비비안 커스텀, 산탄총, 소방거품 등짐, 소방거품탄, 소이탄, 소이탄 발사기, 수리 탐침기, 어린이 진공 방호복, 연막 가방, 연막 발",기계 가공,,TableMachining
단조 작업대,코어,3x1,0,1,5.75,93,대체 가능 → 전기 단조 작업대,,단조,,FueledSmithy
도축 작업대,코어,3x1,0,1,1.15,3,필수,압축 물고기 사료,,,TableButcher
모닥불,코어,1x1,0,0.5,1.15,18,선택(다른 설비 조합으로 대체),,,,Campfire
석재 절삭대,코어,3x1,0,1,3.6,8,필수,"대리석 석재, 사암 석재, 석재 만들기, 석회암 석재, 점판암 석재, 중력 감응판 소재, 진공암 석재, 화강암 석재",석재 가공,,TableStonecutter
스토브,코어,3x1,0,1,2.35,41,대체 가능 → 전기 스토브,,,,FueledStove
약물 연구대,코어,3x1,0,1,2.1,26,필수,"고주스, 뉴트로아민, 독약, 드라고니안 가죽 (드라고니안 프리무스), 드라고니안 뿔 (드라고니안 프리무스), 드라고니안 화이트 초콜릿, 락-C, 사이클포친, 생체강, 성운액, 스마우굼, 야요, 약품, 옴니 드롭, 웨이크업, 저그 군락유도 페르몬 방출기, 집중제, 트랜스, 페녹시실린, 플레이크, 하이포, 혈액팩",약물 제조,,DrugLab
양조대,코어,3x1,0,1,1.15,1,필수,맥아즙,양조,,Brewery
연료 정제기,코어,3x2,170,1,2.2,2,선택(다른 설비 조합으로 대체),,연료 정제,,BiofuelRefinery
재봉 작업대,코어,3x1,0,0.5,5.25,264,대체 가능 → 전기 재봉 작업대,,섬세한 의류,,HandTailoringBench
전기 단조 작업대,코어,3x1,210,1,5.75,93,필수,"""심연"", 가시관, 검, 계혈 묵두, 단창, 도끼, 드라고니안 공기포 지팡이, 드라고니안 공포 지팡이, 드라고니안 대검, 드라고니안 메이스, 드라고니안 빔 지팡이, 드라고니안 사슬 창, 드라고니안 산성 집속 창, 드라고니안 산성 투창기, 드라고니안 섬광 지팡이, 드라고니안 아크 지팡이, 드라고니안 엘텍스 스태프, 드라고니안 장검, 드라고니안 전쟁망치, 드라고니안 전투 창, 드라고니안 집속 창, 드라고니안 투창기, 드라고니안 폭발 사슬 창, 드라고니안 폭발 철퇴, 드라고니안 할버드, 모에로틀 간, 모에로틀 검, 모에로틀 격세 가면, 모에로틀 구혼번, 모에로틀 기린총, 모에로틀 낙양궁, 모에로틀 도철 가면, 모에로틀 동전검, 모에로틀 박묵 가면, 모에로틀 박묵 철립, 모에로틀 반암극, 모에로틀 벼락 맞은 부도목","단조, 전기",,ElectricSmithy
